conformity_tbec2018,tw,lw,hw,M/(V.lw),hw/lw,P/(Ag.fc),fc,Agb,Ag,Agb/Ag,ρbl.fybl,ρsh.fysh,ρl.fyl,ρt.fyt,v_test,failure_mode
0.0,80.0,3000.0,2300.0,0.77,0.77,0.0,27.3,62500.0,325000.0,0.19,9.33,2.92,0.01,1.31,660.02,1.0
0.0,200.0,1500.0,1500.0,1.0,1.0,0.07,46.0,40000.0,300000.0,0.13,12.96,35.48,2.36,1.69,1112.395,1.0
0.0,101.6,1905.0,476.25,0.25,0.25,0.0,25.72,62220.0,297261.6,0.21,21.94,4.57,2.69,2.54,1176.15,2.0
0.0,101.6,1905.0,4572.0,2.39,2.4,0.09,44.13,93025.0,317622.0,0.29,15.79,5.03,1.12,2.53,982.348,2.0
0.0,120.0,1500.0,750.0,0.5,0.5,0.0,29.0,15600.0,180000.0,0.09,24.36,0.0,3.97,3.97,812.609,1.0
0.0,203.2,1524.0,3657.6,2.4,2.4,0.09,32.0,44000.0,309676.8,0.14,41.05,0.0,2.7,3.2,698.0,3.0
0.0,120.0,2121.0,749.0,0.5,0.353135314,0.068659624,40.4,120000.0,345720.0,0.347101701,17.712,0.0,4.797,4.797,2668.0,1.0
1.0,150.0,2149.0,1400.0,0.8,0.651465798,0.080337711,44.6,300000.0,577350.0,0.519615485,5.28,6.1248,5.28,5.28,2430.0,1.0
0.0,200.0,1280.0,2360.0,2.0,1.84,0.13,45.9,43200.0,256000.0,0.17,12.11,3.87,1.61,1.8,653.0,3.0
0.0,200.0,1500.0,3000.0,2.0,2.0,0.07,38.1,40000.0,300000.0,0.13,65.12,0.0,4.61,3.93,1429.84,2.0
0.0,150.0,2149.0,1400.0,0.8,0.651465798,0.094291102,38.0,300000.0,577350.0,0.519615485,2.368,3.4336,2.368,2.368,1680.0,1.0
0.0,60.0,1000.0,3000.0,3.0,3.0,0.2,15.4,14400.0,74400.0,0.19,17.19,3.15,1.89,1.89,110.85,3.0
0.0,120.0,3500.0,1800.0,0.51,0.51,0.0,13.9,150000.0,600000.0,0.25,10.79,4.68,0.72,0.72,1145.0,1.0
